ID,DRIW_age,DRIW_age_ss,DRIQ_age,DRIQ_age_ss
348004,169,82,,
348005,205,104,,
348006,252,128,,
348007,230,117,,
348008,235,120,,
348009,239,122,,
348010,226,115,,
348011,228,116,,
348012,209,107,,
348013,229,117,,
348014,203,103,,
348015,238,121,,
348016,229,117,,
348017,215,110,,
348018,219,112,,
348019,237,121,,
348020,227,116,,
349002,,,148,71
353002,,,131,62
353003,,,218,111
353004,,,186,91
353005,,,211,106
353006,,,212,107
353007,,,196,97
353008,,,198,98
353009,,,201,100
353012,,,236,122
353013,,,214,108
353017,,,177,86
353018,,,185,91
354001,,,211,106
354002,,,186,91
354003,,,188,93
354004,,,216,109
354005,,,150,72
354006,,,208,104
354007,,,187,92
354008,,,232,119
354009,,,217,110
354010,,,181,89
354011,,,200,100
354012,,,178,87
354014,,,175,85
354015,,,188,93
354016,,,193,95
354017,,,192,95
354018,,,181,89
354019,,,167,81
354020,,,161,78
354021,,,195,97
354022,,,158,76
354023,,,206,103
354024,,,164,79
354025,,,230,118
354026,,,185,91
354027,,,230,118
354028,,,182,89
354029,,,178,87
354030,,,164,79
354031,,,215,109
354032,,,177,86
354033,,,185,91
354034,,,165,80
354035,,,192,95
354036,,,124,59
354037,,,168,81
354038,,,208,104
354039,,,217,110
360001,,,194,96
360002,,,170,82
360003,,,225,115
360004,,,178,87
360006,,,221,112
360007,,,166,80
360010,,,174,85
360011,,,168,81
360013,,,169,82
360017,,,177,86
360019,150,69,,
360020,,,196,97
360024,,,171,83
360026,,,204,102
360028,,,165,80
360029,,,187,92
360030,,,179,87
360031,,,177,86
360032,,,168,81
360034,,,179,87
360035,163,78,,
360038,,,209,105
360039,,,185,91
360042,185,93,,
360043,,,194,96
361001,,,205,103
361002,,,189,93
361004,,,175,85
361006,,,178,87
361009,,,177,86
361023,,,180,88
361028,,,151,72
362002,,,192,95
362004,,,186,91
362006,,,195,97
362008,,,190,94
362009,,,233,120
363001,223,114,,
363002,222,113,,
363003,180,89,,
363004,163,78,,
363005,185,93,,
363006,171,84,,
363007,211,108,,
363008,161,77,,
363009,167,81,,
364004,192,97,,
364005,194,98,,
364006,194,98,,
364007,,,209,105
364008,,,189,93
364009,,,204,102
365001,195,99,,
365005,,,163,79
365006,190,96,,
365008,,,191,94
365010,189,95,,
365011,141,62,,
365012,,,179,87
365016,,,211,106
365017,,,189,93
365018,,,141,67
365019,,,216,109
365020,,,231,119
365021,,,230,118
365022,,,195,97
365023,,,213,107
401001,243,124,,
401010,187,94,,
401011,187,94,,
401012,,,207,104
401013,235,120,,
401014,,,159,77
401015,178,88,,
401016,241,123,,
401017,182,91,,
401018,250,127,,
401019,187,94,,
501001,,,185,91
501002,,,219,111
501003,,,206,103
501004,,,171,83
501006,,,192,95
501007,,,184,90
501008,,,179,87
501009,,,237,123
501012,,,225,115
501013,,,186,91
501014,,,162,78
501016,,,245,128
501018,,,234,121
501021,,,184,90
501023,,,218,111
501024,,,169,82
