ID,DRIW_grade,DRIW_grade_ss,DRIQ_grade,DRIQ_grade_ss
346012,,,194,96
346014,,,173,85
346015,,,151,74
346017,193,93,,
348001,186,90,,
348002,222,109,,
348003,198,96,,
348004,171,82,,
348005,207,101,,
348006,251,126,,
348007,217,107,,
348008,237,118,,
348009,225,111,,
348010,213,104,,
348011,222,109,,
348012,211,103,,
348013,232,115,,
348014,199,97,,
348015,238,119,,
348016,223,110,,
348017,211,103,,
348018,214,105,,
348019,231,115,,
348020,229,113,,
349002,,,138,68
353002,,,133,66
353003,,,220,112
353004,,,189,93
353005,,,214,108
353006,,,221,113
353007,,,197,98
353008,,,204,102
353009,,,199,99
353012,,,237,123
353013,,,220,112
353017,,,174,85
353018,,,184,91
354001,,,202,101
354002,,,177,87
354003,,,180,88
354004,,,212,107
354005,,,143,70
354006,,,210,106
354007,,,190,94
354008,,,227,116
354009,,,213,108
354010,,,177,87
354011,,,198,98
354012,,,178,87
354014,,,172,84
354015,,,188,93
354016,,,195,97
354017,,,191,94
354018,,,180,88
354019,,,163,80
354020,,,158,77
354021,,,199,99
354022,,,154,75
354023,,,210,106
354024,,,160,78
354025,,,228,117
354026,,,182,89
354027,,,221,113
354028,,,177,87
354029,,,170,83
354030,,,156,76
354031,,,204,102
354032,,,170,83
354033,,,181,89
354034,,,156,76
354035,,,190,94
354036,,,150,73
354037,,,169,83
354038,,,210,106
354039,,,222,113
360001,,,191,94
360002,,,177,87
360003,,,226,116
360004,,,190,94
360006,,,223,114
360007,,,176,86
360010,,,183,90
360011,,,177,87
360013,,,178,87
360017,,,175,86
360019,149,70,,
360020,,,192,95
360024,,,166,81
360026,,,201,100
360028,,,167,82
360029,,,190,94
360030,,,175,86
360031,,,178,87
360032,,,176,86
360034,,,181,89
360035,164,78,,
360038,,,205,103
360039,,,188,93
360042,171,82,,
360043,,,205,103
361001,,,202,101
361002,,,186,92
361004,,,171,84
361006,,,184,91
361009,,,181,89
361023,,,177,87
361028,,,143,70
362002,,,196,97
362004,,,198,98
362006,,,199,99
362008,,,194,96
362009,,,232,120
363001,224,111,,
363002,225,111,,
363003,175,84,,
363004,165,78,,
363005,171,82,,
363006,164,78,,
363007,205,100,,
363008,169,81,,
363009,169,81,,
364003,135,63,,
364004,187,90,,
364005,189,91,,
364006,204,99,,
364007,,,212,107
364008,,,192,95
364009,,,215,109
365001,220,108,,
365005,,,172,84
365006,206,101,,
365008,,,188,93
365010,183,88,,
365011,133,62,,
365012,,,190,94
365016,,,201,100
365017,,,200,100
365018,,,132,65
365019,,,200,100
365020,,,225,115
365021,,,225,115
365022,,,192,95
365023,,,209,105
401001,240,120,,
401010,184,88,,
401011,182,87,,
401012,,,206,103
401013,224,111,,
401014,,,169,83
401015,180,86,,
401016,227,112,,
401017,176,84,,
401018,251,126,,
401019,189,91,,
501001,,,186,92
501002,,,221,113
501003,,,209,105
501004,,,171,84
501006,,,189,93
501007,,,185,91
501008,,,180,88
501009,,,221,113
501012,,,221,113
501013,,,186,92
501014,,,160,78
501016,,,245,129
501018,,,235,122
501021,,,184,91
501023,,,223,114
501024,,,172,84
