ID,TODself_tot,TODparent_tot,TODteacher_tot
261010, , ,56
261011,54,66,67
261012,90,68, 
261013, ,54,60
261014,68, ,58
261015,54,30, 
261017,93,67,93
261018,91,68, 
261019,77,49, 
261020,55,36, 
261021, ,29, 
261022,82,54,37
261023, , ,68
261024,71,50,49
261025,89,69,69
261026,56,45,61
261027,82,58,43
261028,69,52,56
261029, ,55, 
261030, ,46,47
261033,87,65,78
261036,92,55,49
261037, ,68,92
261039,60,57,59
261040,50,36,51
261041,70,48, 
261042,75,57,36
261043,68,42,63
261045, , ,70
261046,90,63,40
261047, ,41,63
261048,51,43, 
261049, , ,86
262001,85,68,77
262002,87,50,71
262003,53,44,43
262004,86,58,77
262005,105,51,77
262006,77,37,52
262007,60,46,55
262008,90,67,78
262009,88,70,77
262010,79,54,64
262011,80,57,67
262012,59,27,35
262013,70,68,72
262014,60,46,52
262015,73,52,59
262018,70,42,51
262019,61,43,58
262020,69,43,54
262021,88,68, 
262022,101,56, 
262024,88,61, 
262025,108,61, 
262035,85,58,65
262036,50,36,57
262045,71,31,35
262046,70,58,76
262048,93,80,95
262052,91,88, 
262058,58,36, 
262059,73,61,72
262062,45,50,52
262064,80,42,54
262065,66,37,49
262066,104,54,65
262070,61,45, 
262072,59,38, 
262073,62,45, 
262074,82,45,51
262075,44,36,40
264002,56,26, 
264004,68,41, 
264006,74,49,72
264007,93,75, 
264008,53,58, 
264010,69,46, 
264011,79,63, 
264012,104,77, 
264013,66,47, 
264014,102,75, 
264017,85,72, 
264018,55,30, 
264021,93,74, 
264022,83,78, 
264023,43,46, 
264024, ,35, 
264025,61,28, 
264026,44,44, 
264027,55,36, 
264028,71,55, 
264030,56,36, 
264032,67,38, 
264033,45,51, 
264034,78,50, 
264035,56,35, 
264036,57,41, 
264038,50,37, 
264039,88,76, 
264040,68,49, 
264041,67,46, 
264042,67, , 
264047,88,66, 
264048,69,56, 
265001, , ,66
265002,113,90,77
265004,94,71,76
265005,73,52, 
265006, ,58,55
265007,59,50,57
265009,63,42, 
265010,68,49,34
265012,37,30, 
265014,60,37, 
265015, ,58, 
265017,96,78,94
265019,51,43,55
265020,98,59,77
265021, ,49,62
266001, ,83, 
267001,88, , 
267002,74, , 
267005,56, , 
267006,73, , 
267007, ,47, 
267009,76, , 
267010,89, , 
267012, ,86, 
267014,67, , 
267018,89, , 
267020,70, , 
267021,73, , 
267023,74,57, 
267024,78,33, 
268006,82,62, 
268007,75,28, 
268008,74, , 
269002,89,47, 
269003,82,62, 
269005,81, , 
269006,61,40, 
269008,71,62, 
271001,90,69, 
271002,65,39,38
271003,87,60,98
271005,88, , 
271006,53,26,33
271008,59,40, 
271010,57,47, 
271011, ,34,36
301001,106,79, 
301002,46,49, 
302009,88,75, 
302010,123,65, 
302011,90,50, 
302012,68,53, 
302014, ,70, 
302015,84,73, 
302017, ,82, 
302019,109,73, 
302020,66,71, 
302021,117,67, 
302022,66,39, 
302023,72,32, 
302025,83,58, 
302026,68,53, 
302028,91,57, 
302031,75,59, 
302033,75,52, 
307002, ,54, 
307004, ,69, 
307005, ,47, 
307006, ,38, 
307007, ,36, 
307008, ,53, 
307010, ,38, 
307011, ,54, 
307012, ,32, 
307013, ,32, 
307014, ,41, 
307016, ,29, 
307017, ,37, 
309001,61,45,32
309003,84,59,68
309005,92,70,78
309006,47,28,32
309007,68,29,50
309009,72,32,51
309010,112,76,88
309011,78,54,64
309012,75,50,73
309013,83,60,70
