ID,TODparent_tot,TODteacher_tot,TODself_tot,TODparent_tot_nt,TODteacher_tot_nt,TODself_tot_nt
360004,80,,103,68,,67
360006,64,,94,57,,61
360007,80,,88,68,,57
360010,67,,93,59,,60
360011,71,,101,62,,66
360013,63,,81,57,,52
360017,,,111,,,71
360020,84,,94,70,,61
360024,,,87,,,56
360026,84,,,70,,
360029,,,105,,,68
360035,,,99,,,64
360038,72,,,63,,
362002,71,,85,62,,54
362004,60,,85,55,,54
362006,59,,,54,,
362008,66,,88,58,,57
362009,71,,81,62,,52
