test,grade,raw,ss,CI90,CI95,percentile,grade_equiv,desc_range
rhye,2-Fall,29,116,110 - 122,109 - 123,86,> stop grade,Above Average
rhye,2-Fall,30,121,115 - 127,114 - 128,92,> stop grade,Well Above Average
rhye,2-Spring,0,43,40 - 49,40 - 50,<.1,< start grade,Significantly Below Average
rhye,2-Spring,1,46,40 - 52,40 - 53,<.1,< start grade,Significantly Below Average
rhye,2-Spring,2,49,43 - 55,42 - 56,<.1,< start grade,Significantly Below Average
rhye,2-Spring,3,52,46 - 58,45 - 59,0.1,< start grade,Significantly Below Average
rhye,2-Spring,4,54,48 - 60,47 - 61,0.1,< start grade,Significantly Below Average
rhye,2-Spring,5,57,51 - 63,50 - 64,0.2,< start grade,Significantly Below Average
rhye,2-Spring,6,59,53 - 65,52 - 66,0.3,K-Fall,Significantly Below Average
rhye,2-Spring,7,61,55 - 67,54 - 68,0.5,K-Fall,Significantly Below Average
rhye,2-Spring,8,63,57 - 69,56 - 70,1,K-Fall,Significantly Below Average
rhye,2-Spring,9,66,60 - 72,59 - 73,1,K-Fall,Significantly Below Average
rhye,2-Spring,10,68,62 - 74,61 - 75,2,K-Fall,Significantly Below Average
rhye,2-Spring,11,70,64 - 76,63 - 77,2,K-Spring,Well Below Average
rhye,2-Spring,12,72,66 - 78,65 - 79,3,K-Spring,Well Below Average
rhye,2-Spring,13,74,68 - 80,67 - 81,4,K-Spring,Well Below Average
rhye,2-Spring,14,76,70 - 82,69 - 83,5,K-Spring,Well Below Average
rhye,2-Spring,15,78,72 - 84,71 - 85,7,1-Fall,Well Below Average
rhye,2-Spring,16,80,74 - 86,73 - 87,9,1-Fall,Below Average
rhye,2-Spring,17,82,76 - 88,75 - 89,12,1-Fall,Below Average
rhye,2-Spring,18,84,78 - 90,77 - 91,14,1-Fall,Below Average
rhye,2-Spring,19,86,80 - 92,79 - 93,18,1-Spring,Below Average
rhye,2-Spring,20,88,82 - 94,81 - 95,21,1-Spring,Below Average
rhye,2-Spring,21,91,85 - 97,84 - 98,27,1-Spring,Average
rhye,2-Spring,22,93,87 - 99,86 - 100,32,2-Fall,Average
rhye,2-Spring,23,95,89 - 101,88 - 102,37,2-Fall,Average
rhye,2-Spring,24,97,91 - 103,90 - 104,42,2-Fall,Average
rhye,2-Spring,25,100,94 - 106,93 - 107,50,2-Spring,Average
rhye,2-Spring,26,103,97 - 109,96 - 110,58,2-Spring,Average
rhye,2-Spring,27,106,100 - 112,99 - 113,66,> stop grade,Average
rhye,2-Spring,28,109,103 - 115,102 - 116,73,> stop grade,Average
rhye,2-Spring,29,114,108 - 120,107 - 121,82,> stop grade,Above Average
rhye,2-Spring,30,117,111 - 123,110 - 124,87,> stop grade,Above Average
ernle,K-Fall,0,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,K-Fall,1,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,K-Fall,2,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,K-Fall,3,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,K-Fall,4,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,K-Fall,5,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,K-Fall,6,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,K-Fall,7,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,K-Fall,8,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,K-Fall,9,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,K-Fall,10,73,64 - 82,62 - 84,4,< start grade,Well Below Average
ernle,K-Fall,11,74,65 - 83,63 - 85,4,< start grade,Well Below Average
ernle,K-Fall,12,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,K-Fall,13,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,K-Fall,14,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,K-Fall,15,77,68 - 86,66 - 88,6,< start grade,Well Below Average
ernle,K-Fall,16,78,69 - 87,67 - 89,7,< start grade,Well Below Average
ernle,K-Fall,17,79,70 - 88,68 - 90,8,< start grade,Well Below Average
ernle,K-Fall,18,80,71 - 89,69 - 91,9,< start grade,Below Average
ernle,K-Fall,19,81,72 - 90,70 - 92,10,< start grade,Below Average
ernle,K-Fall,20,81,72 - 90,70 - 92,10,< start grade,Below Average
ernle,K-Fall,21,82,73 - 91,71 - 93,12,< start grade,Below Average
ernle,K-Fall,22,83,74 - 92,72 - 94,13,< start grade,Below Average
ernle,K-Fall,23,84,75 - 93,73 - 95,14,< start grade,Below Average
ernle,K-Fall,24,85,76 - 94,74 - 96,16,< start grade,Below Average
ernle,K-Fall,25,86,77 - 95,75 - 97,18,< start grade,Below Average
ernle,K-Fall,26,86,77 - 95,75 - 97,18,< start grade,Below Average
ernle,K-Fall,27,87,78 - 96,76 - 98,19,< start grade,Below Average
ernle,K-Fall,28,88,79 - 97,77 - 99,21,< start grade,Below Average
ernle,K-Fall,29,89,80 - 98,78 - 100,23,< start grade,Below Average
ernle,K-Fall,30,90,81 - 99,79 - 101,25,< start grade,Average
ernle,K-Fall,31,91,82 - 100,80 - 102,27,< start grade,Average
ernle,K-Fall,32,91,82 - 100,80 - 102,27,< start grade,Average
ernle,K-Fall,33,92,83 - 101,81 - 103,30,< start grade,Average
ernle,K-Fall,34,93,84 - 102,82 - 104,32,< start grade,Average
ernle,K-Fall,35,94,85 - 103,83 - 105,34,< start grade,Average
ernle,K-Fall,36,95,86 - 104,84 - 106,37,K-Fall,Average
ernle,K-Fall,37,96,87 - 105,85 - 107,39,K-Fall,Average
ernle,K-Fall,38,97,88 - 106,86 - 108,42,K-Fall,Average
ernle,K-Fall,39,97,88 - 106,86 - 108,42,K-Fall,Average
ernle,K-Fall,40,98,89 - 107,87 - 109,45,K-Fall,Average
ernle,K-Fall,41,99,90 - 108,88 - 110,47,K-Fall,Average
ernle,K-Fall,42,100,91 - 109,89 - 111,50,K-Fall,Average
ernle,K-Fall,43,101,92 - 110,90 - 112,53,K-Fall,Average
ernle,K-Fall,44,102,93 - 111,91 - 113,55,K-Fall,Average
ernle,K-Fall,45,102,93 - 111,91 - 113,55,K-Fall,Average
ernle,K-Fall,46,103,94 - 112,92 - 114,58,K-Fall,Average
ernle,K-Fall,47,104,95 - 113,93 - 115,61,K-Spring,Average
ernle,K-Fall,48,105,96 - 114,94 - 116,63,K-Spring,Average
ernle,K-Fall,49,106,97 - 115,95 - 117,66,K-Spring,Average
ernle,K-Fall,50,107,98 - 116,96 - 118,68,K-Spring,Average
ernle,K-Fall,51,107,98 - 116,96 - 118,68,K-Spring,Average
ernle,K-Fall,52,108,99 - 117,97 - 119,70,K-Spring,Average
ernle,K-Fall,53,109,100 - 118,98 - 120,73,K-Spring,Average
ernle,K-Fall,54,110,101 - 119,99 - 121,75,K-Spring,Above Average
ernle,K-Fall,55,111,102 - 120,100 - 122,77,K-Spring,Above Average
ernle,K-Fall,56,112,103 - 121,101 - 123,79,1-Fall,Above Average
ernle,K-Fall,57,112,103 - 121,101 - 123,79,1-Fall,Above Average
ernle,K-Fall,58,113,104 - 122,102 - 124,81,1-Fall,Above Average
ernle,K-Fall,59,114,105 - 123,103 - 125,82,1-Fall,Above Average
ernle,K-Fall,60,115,106 - 124,104 - 126,84,1-Fall,Above Average
ernle,K-Fall,61,116,107 - 125,105 - 127,86,1-Fall,Above Average
ernle,K-Fall,62,117,108 - 126,106 - 128,87,1-Fall,Above Average
ernle,K-Fall,63,117,108 - 126,106 - 128,87,1-Fall,Above Average
ernle,K-Fall,64,118,109 - 127,107 - 129,88,1-Fall,Above Average
ernle,K-Fall,65,119,110 - 128,108 - 130,90,1-Spring,Above Average
ernle,K-Fall,66,120,111 - 129,109 - 130,91,1-Spring,Well Above Average
ernle,K-Fall,67,121,112 - 130,110 - 130,92,1-Spring,Well Above Average
ernle,K-Fall,68,122,113 - 130,111 - 130,93,1-Spring,Well Above Average
ernle,K-Fall,69,122,113 - 130,111 - 130,93,1-Spring,Well Above Average
ernle,K-Fall,70,123,114 - 130,112 - 130,94,1-Spring,Well Above Average
ernle,K-Fall,71,124,115 - 130,113 - 130,95,1-Spring,Well Above Average
ernle,K-Fall,72,125,116 - 130,114 - 130,95,2-Fall,Well Above Average
ernle,K-Fall,73,126,117 - 130,115 - 130,96,2-Fall,Well Above Average
ernle,K-Fall,74,127,118 - 130,116 - 130,96,2-Fall,Well Above Average
ernle,K-Fall,75,128,119 - 130,117 - 130,97,2-Fall,Well Above Average
ernle,K-Fall,76,128,119 - 130,117 - 130,97,2-Fall,Well Above Average
ernle,K-Fall,77,129,120 - 130,118 - 130,97,2-Fall,Well Above Average
ernle,K-Fall,78,130,121 - 130,119 - 130,98,2-Fall,Well Above Average
ernle,K-Fall,79,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,80,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,81,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,82,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,83,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,84,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,85,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,86,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,87,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,88,130,121 - 130,119 - 130,98,2-Spring,Well Above Average
ernle,K-Fall,89,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,90,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,91,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,92,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,93,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,94,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,95,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,96,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,97,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,98,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,99,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,100,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,101,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,102,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,103,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,104,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,105,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,106,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,107,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,108,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,109,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,110,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,111,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,112,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,113,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,114,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,115,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,116,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,117,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,118,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,119,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Fall,120,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,0,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,K-Spring,1,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,K-Spring,2,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,K-Spring,3,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,K-Spring,4,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,K-Spring,5,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,K-Spring,6,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,K-Spring,7,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,K-Spring,8,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,K-Spring,9,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,K-Spring,10,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,K-Spring,11,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,K-Spring,12,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,K-Spring,13,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,K-Spring,14,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,K-Spring,15,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,K-Spring,16,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,K-Spring,17,73,64 - 82,62 - 84,4,< start grade,Well Below Average
ernle,K-Spring,18,74,65 - 83,63 - 85,4,< start grade,Well Below Average
ernle,K-Spring,19,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,K-Spring,20,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,K-Spring,21,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,K-Spring,22,77,68 - 86,66 - 88,6,< start grade,Well Below Average
ernle,K-Spring,23,78,69 - 87,67 - 89,7,< start grade,Well Below Average
ernle,K-Spring,24,79,70 - 88,68 - 90,8,< start grade,Well Below Average
ernle,K-Spring,25,79,70 - 88,68 - 90,8,< start grade,Well Below Average
ernle,K-Spring,26,80,71 - 89,69 - 91,9,< start grade,Below Average
ernle,K-Spring,27,81,72 - 90,70 - 92,10,< start grade,Below Average
ernle,K-Spring,28,82,73 - 91,71 - 93,12,< start grade,Below Average
ernle,K-Spring,29,82,73 - 91,71 - 93,12,< start grade,Below Average
ernle,K-Spring,30,83,74 - 92,72 - 94,13,< start grade,Below Average
ernle,K-Spring,31,84,75 - 93,73 - 95,14,< start grade,Below Average
ernle,K-Spring,32,85,76 - 94,74 - 96,16,< start grade,Below Average
ernle,K-Spring,33,86,77 - 95,75 - 97,18,< start grade,Below Average
ernle,K-Spring,34,86,77 - 95,75 - 97,18,< start grade,Below Average
ernle,K-Spring,35,87,78 - 96,76 - 98,19,< start grade,Below Average
ernle,K-Spring,36,88,79 - 97,77 - 99,21,K-Fall,Below Average
ernle,K-Spring,37,89,80 - 98,78 - 100,23,K-Fall,Below Average
ernle,K-Spring,38,89,80 - 98,78 - 100,23,K-Fall,Below Average
ernle,K-Spring,39,90,81 - 99,79 - 101,25,K-Fall,Average
ernle,K-Spring,40,91,82 - 100,80 - 102,27,K-Fall,Average
ernle,K-Spring,41,92,83 - 101,81 - 103,30,K-Fall,Average
ernle,K-Spring,42,93,84 - 102,82 - 104,32,K-Fall,Average
ernle,K-Spring,43,93,84 - 102,82 - 104,32,K-Fall,Average
ernle,K-Spring,44,94,85 - 103,83 - 105,34,K-Fall,Average
ernle,K-Spring,45,95,86 - 104,84 - 106,37,K-Fall,Average
ernle,K-Spring,46,96,87 - 105,85 - 107,39,K-Fall,Average
ernle,K-Spring,47,97,88 - 106,86 - 108,42,K-Spring,Average
ernle,K-Spring,48,97,88 - 106,86 - 108,42,K-Spring,Average
ernle,K-Spring,49,98,89 - 107,87 - 109,45,K-Spring,Average
ernle,K-Spring,50,99,90 - 108,88 - 110,47,K-Spring,Average
ernle,K-Spring,51,100,91 - 109,89 - 111,50,K-Spring,Average
ernle,K-Spring,52,100,91 - 109,89 - 111,50,K-Spring,Average
ernle,K-Spring,53,101,92 - 110,90 - 112,53,K-Spring,Average
ernle,K-Spring,54,102,93 - 111,91 - 113,55,K-Spring,Average
ernle,K-Spring,55,103,94 - 112,92 - 114,58,K-Spring,Average
ernle,K-Spring,56,104,95 - 113,93 - 115,61,1-Fall,Average
ernle,K-Spring,57,104,95 - 113,93 - 115,61,1-Fall,Average
ernle,K-Spring,58,105,96 - 114,94 - 116,63,1-Fall,Average
ernle,K-Spring,59,106,97 - 115,95 - 117,66,1-Fall,Average
ernle,K-Spring,60,107,98 - 116,96 - 118,68,1-Fall,Average
ernle,K-Spring,61,108,99 - 117,97 - 119,70,1-Fall,Average
ernle,K-Spring,62,108,99 - 117,97 - 119,70,1-Fall,Average
ernle,K-Spring,63,109,100 - 118,98 - 120,73,1-Fall,Average
ernle,K-Spring,64,110,101 - 119,99 - 121,75,1-Fall,Above Average
ernle,K-Spring,65,111,102 - 120,100 - 122,77,1-Spring,Above Average
ernle,K-Spring,66,112,103 - 121,101 - 123,79,1-Spring,Above Average
ernle,K-Spring,67,112,103 - 121,101 - 123,79,1-Spring,Above Average
ernle,K-Spring,68,113,104 - 122,102 - 124,81,1-Spring,Above Average
ernle,K-Spring,69,114,105 - 123,103 - 125,82,1-Spring,Above Average
ernle,K-Spring,70,115,106 - 124,104 - 126,84,1-Spring,Above Average
ernle,K-Spring,71,116,107 - 125,105 - 127,86,1-Spring,Above Average
ernle,K-Spring,72,116,107 - 125,105 - 127,86,2-Fall,Above Average
ernle,K-Spring,73,117,108 - 126,106 - 128,87,2-Fall,Above Average
ernle,K-Spring,74,118,109 - 127,107 - 129,88,2-Fall,Above Average
ernle,K-Spring,75,119,110 - 128,108 - 130,90,2-Fall,Above Average
ernle,K-Spring,76,120,111 - 129,109 - 130,91,2-Fall,Well Above Average
ernle,K-Spring,77,120,111 - 129,109 - 130,91,2-Fall,Well Above Average
ernle,K-Spring,78,121,112 - 130,110 - 130,92,2-Fall,Well Above Average
ernle,K-Spring,79,122,113 - 130,111 - 130,93,2-Spring,Well Above Average
ernle,K-Spring,80,123,114 - 130,112 - 130,94,2-Spring,Well Above Average
ernle,K-Spring,81,124,115 - 130,113 - 130,95,2-Spring,Well Above Average
ernle,K-Spring,82,124,115 - 130,113 - 130,95,2-Spring,Well Above Average
ernle,K-Spring,83,125,116 - 130,114 - 130,95,2-Spring,Well Above Average
ernle,K-Spring,84,126,117 - 130,115 - 130,96,2-Spring,Well Above Average
ernle,K-Spring,85,127,118 - 130,116 - 130,96,2-Spring,Well Above Average
ernle,K-Spring,86,128,119 - 130,117 - 130,97,2-Spring,Well Above Average
ernle,K-Spring,87,128,119 - 130,117 - 130,97,2-Spring,Well Above Average
ernle,K-Spring,88,129,120 - 130,118 - 130,97,2-Spring,Well Above Average
ernle,K-Spring,89,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,90,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,91,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,92,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,93,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,94,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,95,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,96,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,97,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,98,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,99,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,100,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,101,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,102,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,103,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,104,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,105,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,106,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,107,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,108,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,109,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,110,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,111,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,112,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,113,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,114,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,115,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,116,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,117,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,118,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,119,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,K-Spring,120,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,0,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,1-Fall,1,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,1-Fall,2,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,1-Fall,3,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,1-Fall,4,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,1-Fall,5,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,1-Fall,6,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,1-Fall,7,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,1-Fall,8,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,1-Fall,9,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,1-Fall,10,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,1-Fall,11,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,1-Fall,12,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,1-Fall,13,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,1-Fall,14,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,1-Fall,15,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,1-Fall,16,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,1-Fall,17,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,1-Fall,18,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,1-Fall,19,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,1-Fall,20,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,1-Fall,21,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,1-Fall,22,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,1-Fall,23,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,1-Fall,24,73,64 - 82,62 - 84,4,< start grade,Well Below Average
ernle,1-Fall,25,74,65 - 83,63 - 85,4,< start grade,Well Below Average
ernle,1-Fall,26,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,1-Fall,27,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,1-Fall,28,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,1-Fall,29,77,68 - 86,66 - 88,6,< start grade,Well Below Average
ernle,1-Fall,30,78,69 - 87,67 - 89,7,< start grade,Well Below Average
ernle,1-Fall,31,78,69 - 87,67 - 89,7,< start grade,Well Below Average
ernle,1-Fall,32,79,70 - 88,68 - 90,8,< start grade,Well Below Average
ernle,1-Fall,33,80,71 - 89,69 - 91,9,< start grade,Below Average
ernle,1-Fall,34,81,72 - 90,70 - 92,10,< start grade,Below Average
ernle,1-Fall,35,81,72 - 90,70 - 92,10,< start grade,Below Average
ernle,1-Fall,36,82,73 - 91,71 - 93,12,K-Fall,Below Average
ernle,1-Fall,37,83,74 - 92,72 - 94,13,K-Fall,Below Average
ernle,1-Fall,38,84,75 - 93,73 - 95,14,K-Fall,Below Average
ernle,1-Fall,39,84,75 - 93,73 - 95,14,K-Fall,Below Average
ernle,1-Fall,40,85,76 - 94,74 - 96,16,K-Fall,Below Average
ernle,1-Fall,41,86,77 - 95,75 - 97,18,K-Fall,Below Average
ernle,1-Fall,42,87,78 - 96,76 - 98,19,K-Fall,Below Average
ernle,1-Fall,43,87,78 - 96,76 - 98,19,K-Fall,Below Average
ernle,1-Fall,44,88,79 - 97,77 - 99,21,K-Fall,Below Average
ernle,1-Fall,45,89,80 - 98,78 - 100,23,K-Fall,Below Average
ernle,1-Fall,46,90,81 - 99,79 - 101,25,K-Fall,Average
ernle,1-Fall,47,90,81 - 99,79 - 101,25,K-Spring,Average
ernle,1-Fall,48,91,82 - 100,80 - 102,27,K-Spring,Average
ernle,1-Fall,49,92,83 - 101,81 - 103,30,K-Spring,Average
ernle,1-Fall,50,93,84 - 102,82 - 104,32,K-Spring,Average
ernle,1-Fall,51,93,84 - 102,82 - 104,32,K-Spring,Average
ernle,1-Fall,52,94,85 - 103,83 - 105,34,K-Spring,Average
ernle,1-Fall,53,95,86 - 104,84 - 106,37,K-Spring,Average
ernle,1-Fall,54,96,87 - 105,85 - 107,39,K-Spring,Average
ernle,1-Fall,55,96,87 - 105,85 - 107,39,K-Spring,Average
ernle,1-Fall,56,97,88 - 106,86 - 108,42,1-Fall,Average
ernle,1-Fall,57,98,89 - 107,87 - 109,45,1-Fall,Average
ernle,1-Fall,58,99,90 - 108,88 - 110,47,1-Fall,Average
ernle,1-Fall,59,99,90 - 108,88 - 110,47,1-Fall,Average
ernle,1-Fall,60,100,91 - 109,89 - 111,50,1-Fall,Average
ernle,1-Fall,61,101,92 - 110,90 - 112,53,1-Fall,Average
ernle,1-Fall,62,102,93 - 111,91 - 113,55,1-Fall,Average
ernle,1-Fall,63,102,93 - 111,91 - 113,55,1-Fall,Average
ernle,1-Fall,64,103,94 - 112,92 - 114,58,1-Fall,Average
ernle,1-Fall,65,104,95 - 113,93 - 115,61,1-Spring,Average
ernle,1-Fall,66,105,96 - 114,94 - 116,63,1-Spring,Average
ernle,1-Fall,67,105,96 - 114,94 - 116,63,1-Spring,Average
ernle,1-Fall,68,106,97 - 115,95 - 117,66,1-Spring,Average
ernle,1-Fall,69,107,98 - 116,96 - 118,68,1-Spring,Average
ernle,1-Fall,70,108,99 - 117,97 - 119,70,1-Spring,Average
ernle,1-Fall,71,108,99 - 117,97 - 119,70,1-Spring,Average
ernle,1-Fall,72,109,100 - 118,98 - 120,73,2-Fall,Average
ernle,1-Fall,73,110,101 - 119,99 - 121,75,2-Fall,Above Average
ernle,1-Fall,74,111,102 - 120,100 - 122,77,2-Fall,Above Average
ernle,1-Fall,75,112,103 - 121,101 - 123,79,2-Fall,Above Average
