ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
234007,,7:0-7:5,2_Spring,female,no_HS,hispanic,northeast,1.547354968366174,20,31,106,164,27,42,30,46,39,60,33,51,207,320
234010,,8:0-9:3,2_Spring,female,HS_grad,asian,northeast,0.6075195157045242,24,15,71,43,25,15,22,13,35,21,34,21,184,112
234012,,8:0-9:3,2_Spring,male,HS_grad,black,northeast,0.9132736349838475,21,19,95,87,20,18,20,18,34,31,31,28,168,153
234023,,6:8-6:11,1_Spring,male,HS_grad,other,northeast,1.1456296257864755,21,24,85,97,23,26,28,32,37,42,32,37,175,200
234024,1,7:0-7:5,1_Spring,female,no_HS,hispanic,northeast,1.547354968366174,22,22,70,70,25,25,18,18,21,21,30,30,103,103
234025,,7:0-7:5,1_Spring,female,HS_grad,black,northeast,0.8565856975559599,21,18,93,80,24,21,28,24,37,32,33,28,185,158
234026,,7:0-7:5,1_Spring,female,HS_grad,black,northeast,0.8565856975559599,20,17,86,74,18,15,20,17,36,31,31,27,180,154
234028,,6:8-6:11,1_Spring,female,HS_grad,hispanic,northeast,0.8937001062446872,22,20,79,71,9,8,16,14,27,24,31,28,124,111
234029,1,6:4-6:7,1_Spring,female,some_college,black,northeast,0.8142841251221319,21,21,90,90,21,21,18,18,32,32,30,30,148,148
234030,,6:8-6:11,1_Spring,female,HS_grad,hispanic,northeast,0.8937001062446872,21,19,81,72,23,21,17,15,28,25,31,28,126,113
234031,,7:0-7:5,1_Spring,male,no_HS,hispanic,northeast,1.6497572871017634,21,35,57,94,14,23,19,31,23,38,31,51,96,158
234032,,6:0-6:3,K_Spring,female,HS_grad,black,northeast,0.8565856975559599,16,14,35,30,16,14,11,9,14,12,26,22,96,82
234033,1,6:0-6:3,K_Spring,male,HS_grad,black,northeast,0.9132736349838475,16,16,37,37,20,20,9,9,15,15,6,6,94,94
234034,,5:0-5:7,K_Spring,female,HS_grad,hispanic,northeast,0.8937001062446872,20,18,58,52,22,20,11,10,15,13,26,23,97,87
234035,,6:0-6:3,K_Spring,male,HS_grad,hispanic,northeast,0.9528442360692296,12,11,39,37,5,5,13,12,19,18,14,13,98,93
234045,1,7:6-7:11,2_Spring,female,no_HS,hispanic,northeast,1.547354968366174,22,22,60,60,23,23,21,21,36,36,33,33,209,209
234046,1,7:6-7:11,2_Spring,male,no_HS,hispanic,northeast,1.6497572871017634,20,20,98,98,20,20,28,28,37,37,34,34,210,210
235003,,6:8-6:11,K_Spring,female,some_college,asian,midwest,0.5275753284311497,18,9,93,49,22,12,17,9,33,17,29,15,163,86
235004,,6:8-6:11,K_Spring,male,some_college,asian,midwest,0.5624897068662954,20,11,80,45,16,9,17,10,29,16,29,16,123,69
235005,,8:0-9:3,2_Spring,female,BA_plus,hispanic,midwest,0.6736901286983921,24,16,89,60,27,18,31,21,37,25,33,22,200,135
235029,,5:8-5:11,K_Spring,male,BA_plus,asian,midwest,0.4882685025440166,19,9,76,37,20,10,25,12,37,18,33,16,205,100
238002,1,7:0-7:5,1_Spring,female,BA_plus,white,midwest,0.9855614888010669,23,23,85,85,31,31,29,29,37,37,33,33,210,210
240002,,6:0-6:3,K_Spring,female,HS_grad,asian,south,0.6439404263398837,22,14,89,57,30,19,21,14,33,21,31,20,157,101
240003,,6:0-6:3,K_Spring,female,BA_plus,other,south,0.9398290627636388,13,12,63,59,25,23,21,20,34,32,30,28,153,144
240020,,6:0-6:3,K_Fall,female,HS_grad,other,south,1.1389367105021122,1,1,42,48,4,5,11,13,11,13,19,22,91,104
240021,1,5:8-5:11,K_Fall,female,some_college,other,south,1.0826915339899241,15,15,69,69,19,19,12,12,14,14,16,16,109,109
240022,,6:8-6:11,K_Fall,male,some_college,other,south,1.1543429170420147,6,7,34,39,3,3,10,12,15,17,12,14,97,112
240023,,5:0-5:7,K_Fall,male,HS_grad,white,south,1.4775116347946144,1,1,46,68,19,28,10,15,15,22,22,33,95,140
240036,1,5:8-5:11,K_Fall,male,HS_grad,other,south,1.2143103399748953,3,3,42,42,3,3,9,9,14,14,12,12,96,96
240037,1,7:6-7:11,1_Fall,male,HS_grad,other,south,1.2143103399748953,16,16,91,91,22,22,17,17,31,31,27,27,142,142
240038,1,6:0-6:3,K_Fall,male,some_college,white,south,1.4045462962191306,14,14,42,42,5,5,10,10,13,13,10,10,99,99
240039,,7:0-7:5,1_Spring,male,some_college,white,south,1.4045462962191306,19,27,57,80,25,35,18,25,21,29,31,44,107,150
240040,,6:8-6:11,1_Spring,male,some_college,other,south,1.1543429170420147,24,28,103,119,10,12,24,28,38,44,32,37,202,233
241007,1,5:8-5:11,K_Spring,female,some_college,asian,midwest,0.5275753284311497,1,1,26,26,19,19,12,12,15,15,18,18,90,90
241018,1,5:8-5:11,K_Spring,male,some_college,hispanic,midwest,0.8274583742466066,2,2,17,17,5,5,5,5,9,9,5,5,90,90
241019,,7:6-7:11,1_Spring,male,BA_plus,white,midwest,1.0507849079731348,20,21,65,68,17,18,24,25,33,35,31,33,127,133
241021,,6:0-6:3,K_Spring,female,BA_plus,white,midwest,0.9855614888010669,16,16,65,64,16,16,17,17,18,18,27,27,110,108
241023,,6:8-6:11,K_Spring,male,BA_plus,white,midwest,1.0507849079731348,23,24,108,113,31,33,24,25,37,39,34,36,194,204
